N.B	EH N B
CENTIGRAMS	S EH N T IH G R AH M Z
TANQUE	T AE NG K W
PETONK	P EH T AH NG K
BEDONK	B AH D AO NG K
101'S	W AH N Z IY R OW W AH N L EH T AH R EH S
HEAVY-SET	HH EH V IY S EH T
CURRY-MAD	K AH R IY M AE D
IMPALAS	IH M P AE L AH Z
GUANACOS	G Y UW AE N AH K AH Z
CAMOUFLAGEABLE	K AE M AH F L AA ZH AH B AH L
CANDYTUFT	K AE N D IY T AH F T
CONSTANTINURPLE	K AA N S T AE N T AH N AH R P AH L
ALUMINO	AH L UW M AH N OW
JACET	JH AE S AH T
CARCASE	K AA R K EY S
B.SC	B IY EH S K
MOST-LAST-Y	M OW S T L AE S T W AY
ANTHROPOMORPHIZES	AE N TH R AH P AA M AH R F AY Z AH Z
TOO-HUMAN	T UW HH Y UW M AH N
ANGLOPHOBES	AE N G L AH F OW B Z
TYGERS	T IH JH AH R Z
ALCOHOLIZE	AE L K AH HH AO L AY Z
SCAPECHEESES	S K EY P CH IY Z IH Z
CLEARWAYS	K L IH ER W EY Z
FINGERHOLD	F IH NG G ER HH OW L D
GRASSY-KNOLL	G R AE S IY N OW L
COCK-HORSE	K AA K HH AO R S
WOODEN-BLOCK	W UH D AH N B L AA K
MOCK-HORSE	M AA K HH AO R S
COMBUSTIBILITY	K AH M B AH S T AH B IH L AH T IY
ENGULFS	EH N G AH L F S
COMBUSTIBLENESS	K AH M B AH S T AH B AH L N AH S
HAND-MAKING	HH AE N D M EY K IH NG
INSCRIBERS	IH N S K R AY B ER Z
INK-SLINGING	IH NG K S L IH NG IH NG
UNPARALLELLED	AH N P AE R AH L EH L D
RENTIER	R EH N T IY ER
GANGLION	G AE NG L AY AH N
EYE-SOCKET	AY S AA K AH T
MISC	M IH S
CLICKET	K L IH K AH T
KNOCKETY-KNOCK	N AA K AH T IY N AA K
CLICKETY-CLOCK	K L IH K AH T IY K L AA K
KNOCKETY-CLICKETY	N AA K AH T IY K L IH K AH T IY
CLOCKETY-KNICKETY	K L AA K AH T IY N IH K AH T IY
GEEZER'S	JH IY Z AH R Z
COLLOQ	K AA L AA K
ANYWHERE'S	EH N IY W EH R Z
MICROCRYSTALLINE	M AY K R OW K R IH S T AH L AH N
CONVINCEMENT	K AH N V IH N S M AH N T
ARBEIT	AA R B IY T
HALF-DEAD	HH AE F D EH D
CLOTBUR	K L AA T B AH R
BURS	B AH R Z
AMBITIONLESS	AE M B IH SH AH N L AH S
CARPETTE	K AA R P EH T
BESTEAD	B IH S T EH D
PART-BUILDER	P AA R T B IH L D ER
PART-TROUBLE-SHOOTER	P AA R T T R AH B AH L SH UW T ER
CODE-WORD	K OW D W ER D
CORREGGIO	K AA R EH JH IY OW
JOVE'D	JH AA V AH D
ALOPEX	AE L AH P AH K S
MARMOT	M AA R M AH T
FOX-HOLE	F AA K S HH OW L
COROT	K OW R AA T
STICK-FIGURE	S T IH K F IH G Y ER
COURBET	K OW AH R B AH T
FAINTINGS	F EY N T IH NG Z
COMMOTE	K AH M OW T
REMOTION	R IY M OW SH AH N
COMMORANT	K AA M AO R AH N T
CONTAINERIZATION	K AH N T EY N ER AH Z EY SH AH N
ENUNCIATES	IY N AH N S IY AH T S
BUY-TO-LET	B AY T UW L EH T
CONCLUDENT	K AH N K L UW D AH N T
COPEMATE'S	K OW P M EY T S
CHRISTLESS	K R IH S T L AH S
COAL-WHIPPER	K OW L W IH P ER
CARIAMAS	K AH R IY AH M AH Z
ALUMISH	AE L AH M IH SH
CHRONOPHER	K R AA N AH F AH R
FURTHERMOST	F Y UH R TH ER M OW S T
CHIRRUPY	CH AH R UW P IY
STIRRUPY	S T ER AH P IY
LAMBSIES	L AE M Z IY Z
DOVELY	D AH V L IY
CHOO-CHOO-BASED	CH UW CH UW B EY S T
IKEA'S	AY K IY AH Z
UNSCARED	AH N S K EH R D
ALL-TOO-WELL	AO L T UW W EH L
CHILDISHLY	CH AY L D IH SH L IY
ATHABASCANS	AE TH AH B AE S AH N Z
CHIN-UP	CH IH N AH P
CENTI	S EH N T IY
POINT-OH-ONE	P OY N T OW W AH N
RENDERING'S	R EH N D ER IH NG Z
TRUCKIE	T R AH K IY
NULLARBOR	N AH L AA R B ER
U-IE	Y UW AY
CAERNARFONSHIRE	K IY R N AA R F AH N SH AY R
GWYNEDD	G W IH N AH D
CLINQUANT	K L IH NG K W AH N T
AMOBARBITAL'S	AH M AA B ER B AY T AH L Z
SCATS	S K AE T S
CORONIS	K OW R OW N AH S
MMFF	EH M EH M EH F
FOOSS	F UW S
COAL-BLACK	K OW L B L AE K
BRITANNICAL	B R AH T AE N IH S AH L
ANNUMS	AE N AH M Z
DOORFRAME	D OW R F R EY M
COWPEA	K AW P IY
POO'S	P UW Z
PEASY	P IY Z IY
COW-ORKERS	K AW AO R K AH R Z
A-BREWING	EY B R UW IH NG
CORNLOFT	K AO R N L AO F T
CHIVACHIE	CH IH V AH CH AY
VOLLEY'D	V AA L IY D
THUNDER'D	TH AH N D ER D
CHIVALROUS	SH IH V AH L R AH S
CONTRADICTORINESS	K AA N T R AH D IH K T ER IY N AH S
BIRTHDAY-SUIT-RAL	B ER TH D EY S UW T R AE L
APPEASES	AH P IY Z IH Z
THISTORRENTOFDATATRANSMITS	TH IH S T AH R AH N T AA F D AH T AH T R AE N S M AH T S
INCONTINUOUSSEQUENCEITSBITS	IH N K AH N T AH N Y UW AW S EH K W AH N S IY T S B AH T S
INARUSHDOWNTHEPIPES	AH N AH R AH SH D OW N TH AH P AY P S
OFTHEINTERNET	AA F TH IY N T AH R N AH T
HILAIRE	HH IH L AH AH R
NOUEMENTS	N AW AH M AH N T S
MUGGING'S	M AH G IH NG Z
CHEVEN	CH IY V AH N
CHAVENDER	CH AH V EH N D AH R
OOOHHHHHH	UW AH HH
CJD	S IY JH EY D
CKD	S IY K EY D
DDD	D IY D IY D
D-D-DISASTER	D IY D IY D IH Z AE S T ER
FAST-FORWARDED	F AE S T F AO R W ER D IH D
CURSITORS	K ER S AY T ER Z
CWTCH	S IY D AH B AH L Y UW T IY S IY
GRANDADS	G R AE N D AH D Z
EIGHT-YEAR-LONG	EY T Y IH R L AO NG
QUARTER-NOTED	K W AO R T ER N OW T AH D
CROTCHETED	K R AA CH AH T IH D
CREWET	K R UW AH T
DATER	D EY T ER
DECAMPS	D IY K AE M P S
PASTOR'D	P AE S T ER D
PACK'S	P AE K S
YOUTHFULNESS	Y UW TH F AH L N AH S
CORPORALS	K AO R P ER AH L Z
CONGREET	K AH N G R IY T
HELLOS	HH EH L AA S
ODDMENTS	AA D M AH N T S
OVERTHOUGHT	OW V ER TH AO T
CRO-MAGNONS	K R OW M AE G N AH N Z
OCHRE-DRAWN	OW K ER D R AO N
BUNS'LL	B AH N Z L
MORDICANT	M AO R D IH S AH N T
CLAUDICANT	K L AH D IH S AH N T
APPLESEED'S	AE P AH L S IY D Z
KUDZUSEED'S	K AH D Z AH S IY D Z
ROUND/ABOUT	R AW N D AH B AW T
LOCUTORY	L AA K Y AH T AO R IY
DASHY	D AE SH IY
FLEA-CIRCUS	F L IY S ER K AH S
CLUEFUL	K L UW F AH L
ASS-KISSING	AE S K IH S IH NG
STAR-STRUCK	S T AA R S T R AH K
CONSPURCATION	K AH N S P ER K EY SH AH N
DEFILING	D IH F AY L IH NG
CRANAGE	K R EY N IH JH
CSARDAS	K S AA R D AH Z
CTENOPHORE'S	K T AH N AA F AH R AH Z
BULLET-POINT	B UH L AH T P OY N T
JOB-FREE	JH AA B F R IY
I-FRIENDS	AY F R EH N D Z
CXR	S IY EH K S R
CREEPLE	K R IY P AH L
SLAVERS	S L AE V ER Z
CAWDOR'S	K AO D AH R Z
CREVIS	K R IY V AH S
ANGUSES	AE N G Y UW Z AH Z
DAMPER'S	D AE M P ER Z
STOCKMEN	S T AA K M EH N
BUSHRANGERS	B UH SH R EY N JH ER Z
COCKY'S	K AA K IY Z
DUNIWASSALS	D Y UW N AH W AA S AH L Z
DE-STALINIZATION	D IY S T AE L IH N IH Z EY SH AH N
NIBBLERS	N IH B AH L ER Z
DELVAUX	D IH L V AO K S
DE-STALINIZE	D IY S T AE L IH N AY Z
MOUSTACHIOED	M AW S T AE CH IY OW D
DEMIGROAT	D AH M IH G R OW T
OVERSTATEMENT'S	OW V ER S T EY T M AH N TS
CAR-DRIVING	K AA R D R AY V IH NG
FEATHERBRAIN	F EH DH ER B R EY N
DARKSOME	D AA R K S AH M
LARKSOME	L AA R K S AH M
NARKSOME	N AA R K S AH M
DEGUSTATION	D IY G AH S T EY SH AH N
SELF-DEPRIVATION	S EH L F D EH P R AH V EY SH AH N
DEPULSE	D IY P AH L S
SHRIVELLED	SH R IH V AH L D
PINKLY	P IH NG K L IY
CONTO	K AA N T OW
DISEMBODIMENT	D IH S IH M B AA D IY M AH N T
POSSUM-LIKE	P AA S AH M L AY K
KWIKTAIM	K W IH K T EY M
CUSCUSES	K AH S Y UW Z AH Z
FOOTLESS	F UH T L AH S
GROIN-HEIGHT	G R OY N HH AY T
CHAMAELEON	CH AH M IY L IY AH N
CALLUSED	K AE L AH S T
VOLCANO-STAINED	V AA L K EY N OW S T EY N D
KOR-EE-AM-BUS	K AO R IY AE M B AH S
AM-BUS	AE M B AH S
DECONGEST	D IY K AH N JH EH S T
DISASSEMBLING	D IH S AH S EH M B AH L IH NG
DEMONOGRAPHER	D IY M AA N AH G R AE F ER
ARRAYAL	AH R EY AH L
ALL-SEEING	AO L S IY IH NG
UNUSU-ALL	AH N Y UW S UW AO L
ALL-IMPORTANCE	AO L IH M P AO R T AH N S
SORRIER	S AA R IY ER
WAYS'LL	W EY Z L
RAISE'LL	R EY Z L
ONE-SEVENTY	W AH N S EH V AH N T IY
DGZ	D IY JH IY Z
AELBERT	EH L B AH R T
CUYP	K Y UW AH P
SCROOBIOUS	S K R UW B IY AH S
ACANTHOCHEILONEMA'S	AH K AE N TH AH CH AH L AA N AH M AH Z
GIBLETS	JH IH B L AH T S
CRUMBED	K R AH M D
NIBLETS	N IH B L AH T S
PALTRIEST	P AE L T R AY AH S T
DRIBLETS	D R IH B L AH T S
DESIGNER-MADE	D IH Z AY N ER M EY D
X2	EH K S T UW
2Y	T UW W AY
BEATLESQUE	B AH AE T AH L EH S
BOTTLE-NOSED	B AA T AH L N OW Z D
GLING	G L IH NG
DIDYA	D IH D AY AH
CUTWATER'S	K AH T W AO T ER Z
BAMBOOZLING	B AE M B UW Z L AH NG
BEATLEMANIA	B AH AE T L AH M EY N Y AH
MORE-THAN-ALRIGHT	M AO R DH AE N AO L R AY T
LESSER-USED	L EH S ER Y UW Z D
COMPACTUS	K AA M P AE K T AH S
COCKADED	K AA K EY D IH D
CULTURELESS	K AH L CH ER L AH S
BEATEN-UP	B IY T AH N AH P
SKODA'S	S K OW D AA Z
COMPRESSIBLENESS	K AH M P R EH S AH B AH L N AH S
FOIGHT	F OY T
MOIGHT	M OY T
DEXT'ROUS	D EH K S T R AH S
CHOCKABLOCK	CH AA K AH B L AA K
GANGSTAS	G AE N G S T AH Z
CHERSONESE	CH AH R S AH N IY Z
PENINSU	P AH N IH N S UW
HEARRR	HH AH R
MAY-WEEK-ISH	M EY W IY K IH SH
GULLIBLE'S	G AH L AH B AH L Z
CRINGLE	K R IH N G AH L
CREWMEMBER	K R UW M EH M B ER
CRENGLE	K R EH N G AH L
MILLIPEDE	M IH L AH P IY D
QUINONE	K W AH N OW N
KILL-IMPEDE	K IH L IH M P IY D
BENZOQUINONE	B IH N Z AA K W AH N OW N
PERVY	P AH R V IY
CUTTLES	K AH T AH L Z
FEELGOOD	F IY L G UH D
MIRTHLESS	M ER TH L AH S
CORTICES	K AO R T AH S
DPM	D IY P IY M
KAMPUCHEA	K AE M P AH CH IY AH
DK'S	D IY K EY Z
LIP-LICKING	L IH P L IH K IH NG
AHHHHH	AE HH
HALF-CHEWED	HH AE F CH UW D
THROWN-AWAY	TH R OW N AH W EY
AGAMMAGLOBULINEMIA	AH G AH M AH G L AH B Y UW L AH N IY M IY AH
WHENYA	W EH N AY AH
MOZZIE	M AA Z AY
BO-PEEP	B OW P IY P
TEALS	T IY L Z
VELCRO-TAB	V EH L K R OW T AE B
16K	W AH N S IH K S K EY
FATHERHOOD'S	F AA DH ER HH UH D Z
TARTANY	T AA R T AE N IY
NOUMBERS	N AW M B AH R Z
BEVVIE	B IH V AY
BELHAVEN	B EH L HH EY V AH N
SMARTER'S	S M AA R T ER Z
ADVESPERATE	AE D EH S AH R EY T
HESPERUS	HH EH S AH R AH S
VESPAS	V EH S AH Z
STAND-INS	S T AE N D IH N Z
CYBERLAW	S AH B AH R L AH
NEUTERS	N UW T ER Z
DROME	D R OW M
CROSS-SECTIONED	K R AO S S EH K SH AH N D
SOPWITH	S AA P W IH TH
AEROPLANES	EH R AH P L EY N Z
CHRISTMAS'S	K R IH S M AH S IX Z
POLYNESIANS	P AA L AH N IY S IY AH N Z
EASTERNMOST	IY S T ER N M OW S T
MOAI	M OW IY
EITHER-OR	IY DH ER AO R
FIFTY-EIGHT	F IH F T IY EY T
EUROZONE	Y UW R AH Z OW N
MISTAKE-MAKING	M IH S T EY K M EY K IH NG
SLOTHFULNESS	S L OW TH F AH L N AH S
ETYMOLOGISTS	EH T AH M AA L AH JH AH S T S
SATIRIST'S	S AE T ER AH S TS
ICE-CAPS	AY S K AE P S
PINK-RED	P IH NG K R EH D
MOOGS	M UW G Z
SYNTH-LESS	S IH N TH L EH S
FORESHORES	F OW R SH OW R Z
QUEENSLAND'S	K W IY N Z L AE N D Z
DOUGH-FACED	D OW F EY S T
APPRENTICE'S	AH P R EH N T AH S IX Z
SCREAMIN'S	S K R IY M IH N Z
DIEMEN'S	D AY M EH N Z
STRIPPERGRAM	S T R IH P ER G R AE M
GORILLAGRAM	G AO R AH L AE G R AH M
CHRISTOGRAM	K R IH S T AA G R AH M
CAUX	K AO K S
GAUX	G AO K S
SNAUX	S N AO K S
MELLOWNESS	M EH L OW N AH S
BHP	B IY EY CH P
D&AMP;D	D AE M P D
KOBOLD	K AH B OW L D
DLR	D IY EH L R
GUV'NOR	G AH V N AH R
BRANCUSI	B R AE NG K Y AH S IY
DOESKIN	D OW S K IH N
AAAARGH	AA AH R
SEMI-OCCASIONAL	S EH M IY AO K EY ZH AH N AH L
TIMELORD	T AY M L AO R D
F.C	EH F K
WHIRLING-ROUND	W ER L IH NG R AW N D
FBT	EH F B IY T
MERCS	M AH R K S
FAERIE	F IY R AY
FAIRY-TALES	F EH R IY T EY L Z
DV	D IY V
SD	EH S D
BRIDGET'LL	B R IH JH AH T L
NO-ONE'LL	N OW W AH N L
WELFARE-STATE	W EH L F EH R S T EY T
REBRANDING	R IY B R AE N D IH NG
DTI	D T IY
DRM	D IY AA R M
CHRISTCHURCH'S	K R AY S T CH ER CH IX Z
FLY-CASTING	F L AY K AE S T IH NG
LINOTYPE'S	L IH N OW T AY P S
HOT-MOLDED	HH AA T M OW L D AH D
1FF	W AH N EH F EH F
LEF	L EH F
SQUEE	S K W IY IY
FHM	EH F EY CH M
SKARO	S K AE R OW
EX-TOG-EN-OUS	EH K S T AA G EH N OW AH S
IS-N'T	IH Z EH N T
CONTAINERPORT	K AH N T EY N ER P OW R T
PROPHETICISM	P R AH F EH T IH K IH Z AH M
AESTHETICISM	EH S TH EH T IH K IH Z AH M
EURASIA'S	Y UH R EY ZH AH Z
DAY-OLD	D EY OW L D
SONE	S OW N
THRACIA	TH R EY SH IY AH
PLACIA	P L EY SH IY AH
THRACIA'S	TH R EY S IY AH Z
GLACCUS	G L AE K AH S
DARDANUS	D AA R D AH N AH S
CLEANING-UP-AFTER	K L IY N IH NG AH P AE F T ER
DALTONISM	D AE L T AH N IH Z AH M
SHEEP'LL	SH IY P L
NEAR-PARALYTIC	N IH R P EH R AH L IH T IH K
FDI	F D IY
SUMFIN	S AH M F IH N
APPROACHIN	AH P R OW CH IH N
EOLITHIC	IY AH L AH TH AH K
ACANTHOPTERYGII	AH K AE N TH AH P T EH R AH JH IY
DENISOVAN	D AH N IH S AH V AH N
COSSIES	K AA S AY Z
2002	T UW Z IY R OW Z IY R OW T UW
BAGGAGEMAN'S	B AE G EY JH M AE N Z
BALUSTERS	B AH L AH S T AH R Z
DANDIE'S	D AE N D IY Z
SCRAPPER	S K R AE P ER
BORERS	B AO R ER Z
BULLET-RIDDEN	B UH L AH T R IH D AH N
PETRARCH	P EH T R AH R K
BAILSMAN	B EY L Z M AE N
RECOG	R IY K AA G
WORDCRAFT	W ER D K R AE F T
DADOES	D AH D OW Z
BALL-SHAPED	B AO L SH EY P T
CONIACKER	K AH N AY AE K AH R
CROP-DUSTER	K R AA P D AH S T ER
CROCODYLIA	K R AA K AH D IH L Y AH
KYLIA	K IH L Y AH
WYLIA	W IH L Y AH
CONFUSI	K AA N F Y UW S IY
KNOW-IT-ALLS	N OW IH T AO L Z
FRENCH-DERIVED	F R EH N CH D ER AY V D
PEUPLE	P Y UW P AH L
MALGACHE	M AE L G AE CH
FMG	EH F EH M G
DIDN'E	D IH D N
FNARR	F N AE R
TAKEAWAY	T EY K AH W EY
CHOCCIE	CH AA K S AY
FESTIVUS	F EH S T AH V AH S
SPLURKING	S P L AH R K AH NG
VENUSIANS	V EH N Y UW S IY AH N Z
BUTT-TOOT	B AH T T UW T
CANNON-BLASTS	K AE N AH N B L AE S T S
EPONYMOUSLY	EH P AH N IH M OW AH S L IY
FLACKERY	F L AE K AH R IY
DORBEL	D AO R B AH L
HORBEL	HH AO R B AH L
VAMPIRICAL	V AE M P AY ER IH K AH L
FIFTY-FOOT	F IH F T IY F UH T
76	S EH V AH N S IH K S
BETTER-SAID	B EH T ER S EH D
CORBICULATE	K AO R B IH S AH L EY T
SCENT-SNIFFING	S EH N T S N IH F IH NG
TERRIBLE-TEMPERED	T EH R AH B AH L T EH M P ER D
PSYCHO-CERAMICS	S AY K OW S ER AE M IH K S
CHIROGRAPHIST	CH AH R AA G R AH F AH S T
ANESTHESIA-COMPLETE	AE N IH S TH IY ZH IY AH K AH M P L IY T
NOVO-CANED	N OW V OW K EY N D
METHINX	M EH TH AH NG K S
STINX	S T IH NG K S
TELEGRAM'S	T EH L AH G R AE M Z
CURL'S	K ER L Z
FORD-MADE	F AO R D M EY D
CORBEILS	K AA R B IY AH L Z
ROPE'S	R OW P S
CHIRICO'S	K IH R IY K OW Z
DECLAREDLY	D IH K L EH R AH D L IY
DENIALISM	D IH N AY AH L IH Z AH M
ESCHATOLOGY	EH S AH T AA L AH JH IY
EWER'S	Y UW ER Z
VASE-SHAPED	V EY S SH EY P T
PEE-ER	P IY ER
DEADHEAD'S	D EH D HH EH D Z
MOLD'S	M OW L D Z
DEFEN-SPLAT-ESTRATION	D IY F EH N S P L AE T EH S T R EY SH AH N
FIVE-DAY-OLD	F AY V D EY OW L D
BIGFOOT'S	B IH G F UH TS
GRASPIN	G R AE S P IH N
GASPIN	G AE S P IH N
ANKLE-HIGH	AE NG K AH L HH AY
CLAM'S	K L AE M Z
FOUR-SQUARE	F AO R S K W EH R
BEAM-ENDS	B IY M EH N D Z
DESMODUS	D IH S M OW D AH S
DE-FURRING'S	D IY F ER IH NG Z
DAYTIMER	D EY T AY M ER
FCC	EH F S IY K
DEFRAYMENT	D IH F R EY M AH N T
DETHRONEMENT	D IY TH R OW N M AH N T
DECLINATURE	D IH K L AY N AH CH ER
LOVAIR	L AA V AH AH R
BEQUEATHING	B IH K W IY TH IH NG
FROWNT	F R OW N T
DEEP-ROOTED	D IY P R UW T AH D
#*!%@	
GOONEY	G UW N IY
DC-3	D IY S IY TH R IY
C-47	S IY F OW R S EH V AH N
CYANOTYPE	S AY AE N AH T AY P
DEFUNDED	D IY F AH N D IH D
DEGRESSION	D IH G R EH S IY AH N
SCATOLOGY'S	S K AE T AO L AH JH IY Z
DAD-BLAST	D AE D B L AE S T
B-17	B IY W AH N S EH V AH N
WOODEN-FACE	W UH D AH N F EY S
SOO-EY	S UW IY IY
DEFECATE	D EH F IH K EY T
DEADWOOD'S	D EH D W UH D Z
CANDLE-PIN	K AE N D AH L P IH N
UNPERMISSIBLE	AH N P ER M IH S AH B AH L
DISMISSIBLE	D IH S M IH S AH B AH L
DEBULLIATED	D IY B UH L IY EY T IH D
DE-WHAT	D IY W AH T
MUSTID	M AH S T AH D
RE-BUSTED	R EY B AH S T IH D
ANTI-LEFT	AE N T IY L EH F T
CONFIRMATIVE	K AH N F ER M AH T IH V
LOW-CLASS	L OW K L AE S
DENTITHT	D IH N T IH TH T
THTUCK	TH T AH K
TEETH-PULLING	T IY TH P UH L IH NG
ATH	AE TH
WONTH	W AH N TH
NITHE	N AY DH
THMILE	TH M AY L
THINTH	TH IH N TH
DENTHURES	D EH N TH ER Z
JUTHT	JH AH TH T
THUCK	TH AH K
OFF-THE-WALL	AO F DH AH W AO L
WHININ	W IH N AH N
WAILIN	W EY L IH N
CONSORTS	K AA N S AO R T S
DEALATE	D IY L AH T
BARBULE	B AA R B Y UW L
DESCENSION	D IH S EH N Z IY AH N
DESERTION'S	D IH Z ER SH AH N Z
COOL-HEADEDLY	K UW L HH EH D AH D L IY
RIGHT-OF-WAY	R AY T AH V W EY
A-SQUIRMIN	EY S K W ER M IH N
DECUMBENCY	D AH K AH M B EH N S IY
CONSTITUTIONALIST	K AA N S T AH T UW SH AH N AH L IH S T
PLEATHE	P L IY DH
JUTH	JH AH TH
BUTHDID	B AH TH D AH D
MUTHT	M AH TH T
THIT	TH IH T
PLATHTIC	P L AE TH T AH K
BICUTHPID	B AY K AH TH AH D
DEATHBED'S	D EH TH B EH D Z
DIABOLICALNESS	D AY AH B AA L IH K AH L N AH S
DEFECTIVELY	D IY F EH K T IH V L IY
EX-SOVEREIGN	EH K S S AA V R AH N
DECOLLATION	D IY K AH L EY SH AH N
ROSEMARY'S	R OW Z M EH R IY Z
PIPPER	P IH P ER
DISENTWINE	D IH S EH N T W AY N
SEVEN-YEAR-LONG	S EH V AH N Y IH R L AO NG
AIG	EY G
ONCE-GREAT	W AH N S G R EY T
HOLD-UP	HH OW L D AH P
ANT'NY	AE N T N IY
DERAY	D IY R EY
PORTENTOUSLY	P AO R T EH N T AH S L IY
SBD	EH S B IY D
MUSTARDLY	M AH S T ER D L IY
DISPOSSESSOR	D IH S P AH Z EH S ER
50S-STYLE	F AY V Z IY R OW EH S S T AY L
DESOLATENESS	D EH S AH L AH T N AH S
DISPASSION	D IH S P AE SH AH N
KNOCK-KNEED	N AA K N IY D
NOWISE	N AH W AY Z
PLEASURE-BENT	P L EH ZH ER B EH N T
CRYPTANALYZED	K R IH P T AE N AH L AY Z D
DE-NAZIFICATION'S	D IY N AE Z AH F AH K EY T IY AH N Z
DINKS	D IH NG K S
ODDJOB	AA D JH AA B
MASTER-SPY	M AE S T ER S P AY
CHEM-SPRAYED	K EH M S P R EY D
DEFOLIATION	D AH F AA L AY EY SH AH N
MUTTA	M AH T AH
UTTA	AH T AH
BATTA	B AE T AH
BUTTA	B AH T AH
DEFALCATION'S	D AH F AE L K EY T IY AH N Z
BUPPIE	B AH P AY
CROSS-BREEDER'S	K R AO S B R IY D ER Z
214	T UW W AH N F OW R
NEAR-FROZEN	N IH R F R OW Z AH N
CROSS-TOWN	K R AO S T AW N
DEEP-READ	D IY P R EH D
GUMMIN	G AH M AH N
TICKIN	T IH K IH N
DIGAMY	D IH G AH M IY
ORGY'S	AO R JH IY Z
DETHRONER	D IY TH R OW N ER
BADLY...OH	B AE D L IY OW
SIDE-WHEELER	S AY D W IY L ER
MILLAND'S	M IH L AE N D Z
CURE-RECTION	K Y UH R R EH K SH AH N
DITS	D IH T S
FORTY-INCH	F AO R T IY IH N CH
BIBLICALLY	B IH B L IH K AH L IY
RENCLETY	R IH NG K L EH T IY
WTIHUOT	W T IH HH Y UW AH T
DBUOT	D B Y UW AH T
SRCWEED	S R K W IY D
WOLHE	W OW L HH
MNID	M N IH D
BFEUDLDED	B F Y UW D L D AH D
SNESES	S N IY Z AH Z
MDUDELD	M D Y UW D AH L D
CSORESD	K S AO R AH Z D
EEYS	IY AH Z
WNO'T	W N AA T
OFF-NOTE	AO F N OW T
CHOWED	CH AW D
WELL-PLANNED	W EH L P L AE N D
JUDICIUM	JH UW D IH S IY AH M
MARYK	M AE R AH K
QUEEG	K W IY G
SCRIPS	S K R IH P S
MID-STRIDE	M IH D S T R AY D
DEBTED	D EH T IH D
DEDUCIBLY	D IH D UW S AH B L IY
ABUSIBLY	AH B Y UW Z AH B L IY
WELL-HUNG	W EH L HH AH NG
NOOSEIBLY	N UW S AH B L IY
BUSHISMS	B UH SH IH Z AH M Z
DISPLOSION'S	D IH S L OW S IY AH N Z
DISPUTABLY	D IH S P Y UW T AH B L IY
STILL-MAKING	S T IH L M EY K IH NG
CONSIGNMENTS	K AH N S AY N M AH N T S
ARDIPITHECUS	AA R D AH P IH TH AH K AH S
ARDI	AA R D IY
METES	M IY T S
DEMONOLOGIST	D IY M AH N AA L AH JH AH S T
BOOT-TOOL	B UW T T UW L
CULMINANT	K AH L M AH N AH N T
CONDONATION	K AH N D OW N EY SH AH N
SEXING	S EH K S IH NG
EIGHTEEN-SIXTY-ONE	EY T IY N S IH K S T IY W AH N
REBS	R EH B Z
NECKTIE'S	N EH K T AY Z
DEFORCEMENT	D IY F OW R S M AH N T
DISSHEATHE	D IH S SH IY DH
SATURNALIA	S AE T AH R N EY L Y AH
